"state","race","type","all_workers_n","artists_n","artists_share","location_quotient"
"Rhode Island","Hispanic","Landscape Architects",78695,NA,NA,NA
"South Carolina","Hispanic","Landscape Architects",134610,0,NA,NA
"South Dakota","Hispanic","Landscape Architects",15565,0,NA,NA
"Tennessee","Hispanic","Landscape Architects",167595,0,NA,NA
"Texas","Hispanic","Landscape Architects",5220455,420,8.04527574703737e-05,0.717178108796272
"Utah","Hispanic","Landscape Architects",213410,0,NA,NA
"Vermont","Hispanic","Landscape Architects",6470,0,NA,NA
"Virginia","Hispanic","Landscape Architects",427525,NA,NA,NA
"Washington","Hispanic","Landscape Architects",448570,NA,NA,NA
"West Virginia","Hispanic","Landscape Architects",12005,0,NA,NA
"Wisconsin","Hispanic","Landscape Architects",186120,0,NA,NA
"Wyoming","Hispanic","Landscape Architects",27680,0,NA,NA
"Puerto Rico","Hispanic","Landscape Architects",1208905,185,0.000153031048759001,NA
"Alabama","White","Landscape Architects",1496830,325,0.000217125525276752,0.891783987955044
"Alaska","White","Landscape Architects",253950,45,0.000177200236266982,0.72780173203185
"Arizona","White","Landscape Architects",1857110,625,0.000336544415785818,1.38226457184586
"Arkansas","White","Landscape Architects",1014735,190,0.000187241003808876,0.769041451356545
"California","White","Landscape Architects",7686845,3340,0.000434508566258328,1.7846256515653
"Colorado","White","Landscape Architects",2172170,835,0.000384408218509601,1.57885211178297
"Connecticut","White","Landscape Architects",1329540,595,0.000447523203513997,1.83807973117595
"Delaware","White","Landscape Architects",307920,45,0.00014614185502728,0.600237885975215
"District of Columbia","White","Landscape Architects",183365,155,0.00084530853761623,3.47187470366278
"Florida","White","Landscape Architects",5285390,1225,0.000231770976219352,0.951936190835589
"Georgia","White","Landscape Architects",2773560,685,0.000246975006850402,1.01438260772677
"Hawaii","White","Landscape Architects",177700,65,0.000365785030951041,1.50236243859398
"Idaho","White","Landscape Architects",688065,100,0.000145335106421632,0.596924385695112
"Illinois","White","Landscape Architects",4224420,995,0.000235535292418841,0.967397094881879
"Indiana","White","Landscape Architects",2724985,405,0.000148624671328466,0.610435378046262
"Iowa","White","Landscape Architects",1463250,290,0.000198188962924996,0.814007213111629
"Kansas","White","Landscape Architects",1178420,110,9.33453267935032e-05,0.383390518819808
"Kentucky","White","Landscape Architects",1787115,110,6.15517188317484e-05,0.252806929149852
"Louisiana","White","Landscape Architects",1337315,195,0.000145814561266418,0.598893615950206
"Maine","White","Landscape Architects",658985,115,0.000174510800701078,0.716755607578023
"Maryland","White","Landscape Architects",1690500,615,0.00036379769299024,1.49419998892419
"Massachusetts","White","Landscape Architects",2791055,1055,0.000377993267778671,1.55250444796928
"Michigan","White","Landscape Architects",3807850,480,0.000126055385585041,0.517738180791752
"Minnesota","White","Landscape Architects",2524705,510,0.000202003798463583,0.829675611590608
"Mississippi","White","Landscape Architects",787155,105,0.000133391771633287,0.54787038933307
"Missouri","White","Landscape Architects",2479115,515,0.00020773542171299,0.853216693793161
"Montana","White","Landscape Architects",472695,100,0.000211552904092491,0.868895963450655
"Nebraska","White","Landscape Architects",845465,75,8.87085804852951e-05,0.364346345599736
"Nevada","White","Landscape Architects",749805,85,0.000113362807663326,0.465606872222526
"New Hampshire","White","Landscape Architects",690940,145,0.000209859032622225,0.861938847501658
"New Jersey","White","Landscape Architects",2640925,620,0.000234766227742174,0.964238371081536
"New Mexico","White","Landscape Architects",374900,65,0.000173379567884769,0.712109376735529
"New York","White","Landscape Architects",5774960,2225,0.000385284053915525,1.58244936728801
"North Carolina","White","Landscape Architects",3309215,465,0.000140516708645404,0.577134128520322
"North Dakota","White","Landscape Architects",363175,15,4.13024024230743e-05,0.169638374382863
"Ohio","White","Landscape Architects",4775955,510,0.000106784925737366,0.438590012879281
"Oklahoma","White","Landscape Architects",1276415,140,0.000109682195837561,0.450489761104837
"Oregon","White","Landscape Architects",1600140,395,0.000246853400327471,1.01388314203824
"Pennsylvania","White","Landscape Architects",5161830,1225,0.000237318935338824,0.974722922622503
"Rhode Island","White","Landscape Architects",423445,195,0.000460508448558845,1.89141309028197
"South Carolina","White","Landscape Architects",1586190,390,0.000245872184290659,1.00985306427912
"South Dakota","White","Landscape Architects",398225,40,0.000100445727917634,0.412553483526456
"Tennessee","White","Landscape Architects",2455855,430,0.000175091770483192,0.719141782803228
